,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
U,e2,e1,e2,L,L,─,─,─,─,e2,L,L,─,─,L,L,L,L,─,─,e2,L,L,L,─,─,e2,e1,e2,n2,─,─,─,L,n2,─,─,─,─,─,─,─,1,0,0,0,0,0,0,0,0,0,1,0,
V,L,L,L,L,L,─,─,D,n2,n1,n1,─,─,e1,n1,─,─,L,L,L,L,L,─,─,─,─,L,n2,n1,─,─,e1,L,─,─,D,D,n2,─,─,─,─,5,0,0,0,0,0,0,0,0,0,5,0,
W,L,─,─,e2,n2,─,─,L,L,L,L,L,─,─,e2,D,L,─,─,L,L,L,L,n2,─,─,─,e2,n2,─,─,─,─,L,L,─,─,e2,L,─,─,─,10,0,0,0,0,0,0,0,0,0,10,0,
X,e2,L,L,L,n2,─,─,e2,L,─,─,L,L,─,─,e2,n1,n1,n1,─,─,e2,L,e2,n2,─,─,─,─,─,─,e2,n2,n1,─,─,─,─,─,─,─,─,1004,0,0,0,0,0,0,0,0,1,2,2,
Y,n1,n1,n1,─,─,e2,e1,e1,e2,D,─,─,e1,L,L,─,─,─,e1,e1,e2,n1,─,─,e2,L,─,─,e1,e2,e1,─,─,─,─,─,─,e2,L,─,─,─,20,0,0,0,0,0,0,0,0,0,20,0,
Z,e1,e1,e1,D,e1,─,─,─,e1,L,─,─,─,─,D,D,L,L,L,─,─,L,L,L,─,─,L,L,L,L,L,─,─,─,D,L,L,─,─,L,L,L,0,0,0,0,0,0,0,0,0,0,0,0,
AA,─,─,e2,e1,e2,e1,n2,─,─,─,e2,e1,e2,e1,n2,─,─,e1,e2,─,─,─,e2,D,─,─,─,e2,n2,─,─,e1,e2,─,─,─,─,─,e1,e2,─,─,16,0,0,0,0,0,0,0,0,0,16,0,
AB,D,D,D,D,e1,─,─,D,D,D,D,D,─,─,D,D,D,D,D,─,─,─,D,D,─,─,D,D,D,D,─,─,─,D,D,D,D,D,D,─,─,─,2003,1,0,0,0,0,1,0,0,0,0,3,
AC,D,e1,n2,n1,n1,─,─,e1,e1,e1,n2,─,─,e1,e1,e1,e1,e1,─,─,e1,D,n2,n1,n1,─,─,─,─,e1,e1,─,─,─,e1,e1,─,─,─,─,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
AD,D,D,D,─,─,D,D,D,n2,─,─,D,D,D,─,─,D,D,n2,─,─,─,─,D,D,n2,─,─,─,D,D,D,D,─,─,D,D,─,─,─,D,D,7,0,0,0,0,0,0,0,0,0,7,0,
AE,L,L,L,L,L,─,─,─,D,D,D,L,─,─,─,─,e2,L,L,L,─,─,─,e2,L,─,─,─,L,L,L,─,─,─,─,─,e2,D,─,─,─,e2,0,0,0,0,0,0,0,0,0,0,0,0,
AF,e1,e2,L,L,L,L,─,─,─,L,L,n2,─,─,─,e2,L,L,L,n2,─,─,─,─,─,e2,L,L,L,─,─,─,─,─,─,─,D,n2,─,─,─,─,1005,0,0,0,0,0,1,0,0,0,5,0,
AG,─,─,e2,L,L,─,─,─,e2,L,n1,─,─,─,─,D,e1,e2,e1,D,n1,─,─,─,e2,D,e1,─,─,─,─,D,D,D,D,n1,─,─,─,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
AH,─,e1,L,n2,n1,n1,n1,─,─,─,D,e1,D,e1,n2,─,─,─,─,─,─,─,─,D,e1,e1,e1,e1,─,─,─,D,L,─,─,─,D,e1,n2,─,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
AI,─,─,e1,e2,e1,e1,e1,e1,─,─,─,D,D,D,─,─,─,e2,e1,─,─,─,D,e1,─,─,─,e2,D,e1,e2,e1,─,─,─,─,e1,e1,e1,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
AJ,─,e2,e1,e2,e1,─,─,─,e1,e2,─,─,─,D,D,n2,─,─,─,e2,e1,e2,n2,─,─,─,n1,n1,─,─,─,n2,n1,─,─,─,─,─,e2,D,─,─,17,0,0,0,0,0,0,0,0,0,17,0,
AK,D,D,D,D,D,D,─,─,─,─,D,D,D,n1,n1,─,─,─,D,D,D,D,n1,─,─,─,─,─,D,D,─,─,─,─,─,─,D,D,D,D,─,─,3,0,0,0,0,0,0,0,0,0,0,3,
AL,e2,─,─,─,e2,D,D,e1,e2,─,─,─,e1,e2,e1,e1,n2,─,─,─,─,─,─,e1,n2,─,─,─,e2,n2,─,─,─,e1,e2,─,─,─,e2,e1,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
AM,─,e2,D,n2,─,─,─,D,D,D,D,─,─,─,─,─,e2,n2,─,─,─,e2,n2,─,─,─,e2,D,─,─,─,─,e2,n1,n1,─,─,─,─,D,n1,─,4,0,0,0,0,0,0,0,0,0,4,0,
AN,L,L,L,n2,n1,─,─,─,D,L,L,L,L,n2,─,─,─,─,D,L,L,L,L,n1,─,─,─,─,─,D,L,─,─,─,─,─,─,─,─,─,D,n1,3,0,0,0,0,0,0,0,0,0,3,0,
AO,e1,n2,─,─,D,e1,e1,e1,n1,─,─,─,L,L,L,L,n2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,e1,n1,─,─,─,─,─,─,─,─,16,0,0,0,0,0,0,0,0,0,16,0,
AP,L,L,─,─,─,L,L,L,L,─,─,─,L,L,n2,─,─,─,e2,n2,n1,─,─,─,─,─,─,─,─,─,─,─,─,L,L,─,─,─,─,─,─,─,8,0,0,0,0,0,0,0,0,0,8,0,
AQ,n2,─,─,─,─,D,D,D,n2,─,─,─,─,─,─,─,e1,e1,e1,D,e1,─,─,─,D,D,─,─,n1,n1,─,─,─,─,─,─,─,─,─,─,─,─,9,0,0,0,0,0,0,0,0,0,9,0,
AR,n1,─,─,e2,e1,e2,e1,─,─,L,L,─,─,─,─,e1,─,─,e2,─,─,D,n1,─,─,─,─,─,─,─,D,─,─,─,─,─,─,─,─,─,─,─,25,0,0,0,0,0,0,0,0,0,25,0,
AS,e2,─,─,n1,─,─,─,D,─,─,e2,─,─,─,D,─,─,─,D,n1,─,─,─,─,─,e2,─,─,D,D,D,─,─,─,─,─,─,─,e2,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
人数違反,300,101,201,101,100,1400,1400,800,400,200,0,100,700,300,100,300,100,100,200,300,300,1,2,102,1,1,1,2,5,10,7,5,4,1,2,8,11,9,6,6,4,3,
e1の勤務人数,8,8,6,7,9,6,7,7,8,5,7,6,5,6,4,6,8,7,8,5,4,3,5,6,4,4,3,4,5,5,6,5,3,5,5,5,3,3,3,4,2,1,
e2の勤務人数,7,5,5,5,5,4,0,4,3,4,2,2,4,3,4,3,5,4,4,2,4,4,3,3,3,3,4,3,4,2,2,3,2,1,2,3,1,2,3,1,1,1,
Dの勤務人数,9,8,8,7,6,9,7,9,6,6,6,4,6,5,7,5,5,5,7,6,6,6,4,7,6,4,4,5,5,10,6,7,6,3,4,6,10,7,6,4,3,3,
Lの勤務人数,8,8,7,7,6,2,4,7,5,8,5,6,7,7,4,5,6,7,5,6,5,7,6,5,4,5,4,3,4,4,5,3,3,3,3,2,1,1,3,3,1,1,
n1の勤務人数,2,1,3,3,4,1,1,0,2,3,4,3,0,1,2,1,3,2,3,1,2,3,3,4,3,2,2,2,2,2,1,1,2,3,2,2,1,0,1,3,1,1,
n2の勤務人数,2,2,2,3,3,0,1,0,3,3,2,3,0,2,3,2,3,3,2,2,0,1,4,1,3,2,1,2,3,2,2,3,2,0,3,1,1,2,1,1,0,0,
e1の必要人数,8,8,7,7,9,9,8,8,8,5,7,6,5,7,4,6,8,7,8,6,5,3,5,6,4,4,3,4,3,2,2,4,3,4,4,1,1,1,3,4,0,1,
e2の必要人数,7,4,5,4,5,5,7,4,4,4,2,2,4,3,4,3,5,4,4,2,4,4,3,3,3,3,4,3,3,2,2,3,1,1,2,3,0,0,2,0,1,1,
Dの必要人数,9,8,7,7,7,9,7,9,6,7,6,5,6,5,7,6,6,6,7,6,6,5,3,5,5,3,3,4,4,5,4,4,4,3,3,2,2,2,2,1,2,0,
Lの必要人数,8,8,7,7,6,7,6,7,5,8,5,6,8,7,4,5,6,7,5,6,5,7,5,5,4,5,4,3,4,3,4,2,3,3,3,2,1,1,2,1,1,1,
n1の必要人数,4,2,3,4,4,3,3,4,4,4,4,3,3,2,3,3,3,2,3,3,3,3,3,4,3,2,2,1,2,1,1,1,1,3,2,2,1,0,1,3,0,1,
n2の必要人数,3,2,3,3,3,3,3,3,4,3,2,3,3,3,3,2,3,3,4,2,1,1,4,2,3,2,1,2,2,2,2,3,2,0,3,1,1,2,1,1,0,0,
